cast_id	cast_name
nm0000068	Randolph Scott
nm0000092	John Cleese
nm0000093	Brad Pitt
nm0000100	Rowan Atkinson
nm0000101	Dan Aykroyd
nm0000102	Kevin Bacon
nm0000104	Antonio Banderas
nm0000110	Kenneth Branagh
nm0000111	Matthew Broderick
nm0000112	Pierce Brosnan
nm0000114	Steve Buscemi
nm0000115	Nicolas Cage
nm0000123	George Clooney
nm0000126	Kevin Costner
nm0000128	Russell Crowe
nm0000129	Tom Cruise
nm0000131	John Cusack
nm0000134	Robert De Niro
nm0000136	Johnny Depp
nm0000138	Leonardo DiCaprio
nm0000140	Michael Douglas
nm0000142	Clint Eastwood
nm0000144	Cary Elwes
nm0000146	Ralph Fiennes
nm0000147	Colin Firth
nm0000148	Harrison Ford
nm0000151	Morgan Freeman
nm0000152	Richard Gere
nm0000154	Mel Gibson
nm0000156	Jeff Goldblum
nm0000158	Tom Hanks
nm0000160	Ethan Hawke
nm0000163	Dustin Hoffman
nm0000164	Anthony Hopkins
nm0000168	Samuel L. Jackson
nm0000169	Tommy Lee Jones
nm0000172	Harvey Keitel
nm0000174	Val Kilmer
nm0000175	Stephen King
nm0000177	Kevin Kline
nm0000179	Jude Law
nm0000185	Dolph Lundgren
nm0000186	David Lynch
nm0000188	Steve Martin
nm0000190	Matthew McConaughey
nm0000191	Ewan McGregor
nm0000196	Mike Myers
nm0000198	Gary Oldman
nm0000199	Al Pacino
nm0000200	Bill Paxton
nm0000202	Ryan Phillippe
nm0000206	Keanu Reeves
nm0000209	Tim Robbins
nm0000216	Arnold Schwarzenegger
nm0000219	Steven Seagal
nm0000221	Charlie Sheen
nm0000225	Christian Slater
nm0000226	Will Smith
nm0000228	Kevin Spacey
nm0000240	Skeet Ulrich
nm0000241	Jean-Claude Van Damme
nm0000242	Mark Wahlberg
nm0000243	Denzel Washington
nm0000246	Bruce Willis
nm0000249	James Woods
nm0000255	Ben Affleck
nm0000273	Alan Arkin
nm0000274	David Arquette
nm0000276	Sean Astin
nm0000279	Hank Azaria
nm0000284	Adam Baldwin
nm0000285	Alec Baldwin
nm0000286	Stephen Baldwin
nm0000287	William Baldwin
nm0000293	Sean Bean
nm0000296	Robert Beltran
nm0000297	Tom Berenger
nm0000299	Michael Biehn
nm0000305	Mel Blanc
nm0000306	Brian Blessed
nm0000308	Ernest Borgnine
nm0000309	David Bowie
nm0000310	Bruce Boxleitner
nm0000313	Jeff Bridges
nm0000314	Charles Bronson
nm0000316	Mel Brooks
nm0000317	Clancy Brown
nm0000321	Gabriel Byrne
nm0000323	Michael Caine
nm0000329	Jackie Chan
nm0000331	Chevy Chase
nm0000332	Don Cheadle
nm0000338	Francis Ford Coppola
nm0000342	James Cromwell
nm0000343	David Cronenberg
nm0000345	Billy Crystal
nm0000346	Macaulay Culkin
nm0000352	Vincent D'Onofrio
nm0000353	Willem Dafoe
nm0000354	Matt Damon
nm0000355	Anthony Daniels
nm0000358	Daniel Day-Lewis
nm0000362	Danny DeVito
nm0000367	Gérard Depardieu
nm0000369	Matt Dillon
nm0000373	Michael Dorn
nm0000374	Brad Dourif
nm0000375	Robert Downey Jr.
nm0000381	Anthony Edwards
nm0000385	Sam Elliott
nm0000387	Robert Englund
nm0000389	Emilio Estevez
nm0000391	Rupert Everett
nm0000401	Laurence Fishburne
nm0000408	Jonathan Frakes
nm0000410	Stephen Fry
nm0000411	Edward Furlong
nm0000412	Andy Garcia
nm0000416	Terry Gilliam
nm0000417	Crispin Glover
nm0000418	Danny Glover
nm0000422	John Goodman
nm0000424	Hugh Grant
nm0000425	Peter Greenaway
nm0000430	Steve Guttenberg
nm0000432	Gene Hackman
nm0000434	Mark Hamill
nm0000437	Woody Harrelson
nm0000438	Ed Harris
nm0000439	Neil Patrick Harris
nm0000442	Rutger Hauer
nm0000448	Lance Henriksen
nm0000453	Ian Holm
nm0000457	John Hurt
nm0000459	Timothy Hutton
nm0000460	Jeremy Irons
nm0000461	Michael Ironside
nm0000465	Ron Jeremy
nm0000466	Jean-Pierre Jeunet
nm0000467	Don Johnson
nm0000474	Michael Keaton
nm0000479	Walter Koenig
nm0000483	Christopher Lambert
nm0000491	John Leguizamo
nm0000498	Matthew Lillard
nm0000501	Ray Liotta
nm0000502	Christopher Lloyd
nm0000507	Rob Lowe
nm0000513	William H. Macy
nm0000514	Michael Madsen
nm0000516	Lee Majors
nm0000518	John Malkovich
nm0000532	Malcolm McDowell
nm0000538	Colm Meaney
nm0000546	Matthew Modine
nm0000547	Alfred Molina
nm0000551	Dermot Mulroney
nm0000553	Liam Neeson
nm0000554	Sam Neill
nm0000555	Judd Nelson
nm0000560	Nick Nolte
nm0000561	Peter North
nm0000562	Jeremy Northam
nm0000563	Chris O'Donnell
nm0000574	Jason Patric
nm0000576	Sean Penn
nm0000579	Ron Perlman
nm0000585	Robert Picardo
nm0000594	Jason Priestley
nm0000596	Jonathan Pryce
nm0000597	Bill Pullman
nm0000598	Dennis Quaid
nm0000602	Robert Redford
nm0000604	John C. Reilly
nm0000606	Jean Reno
nm0000607	Paul Reubens
nm0000608	Burt Reynolds
nm0000610	Giovanni Ribisi
nm0000615	John Ritter
nm0000616	Eric Roberts
nm0000619	Tim Roth
nm0000625	Fred Savage
nm0000628	Johnathon Schaech
nm0000630	Liev Schreiber
nm0000632	Jerry Seinfeld
nm0000633	Tom Selleck
nm0000638	William Shatner
nm0000640	Martin Sheen
nm0000641	Gary Sinise
nm0000643	Tom Skerritt
nm0000647	Alan Smithee
nm0000648	Wesley Snipes
nm0000649	Paul Sorvino
nm0000652	James Spader
nm0000653	Brent Spiner
nm0000654	Terence Stamp
nm0000655	Eric Stoltz
nm0000657	David Strathairn
nm0000661	Donald Sutherland
nm0000662	Kiefer Sutherland
nm0000665	D.B. Sweeney
nm0000667	David Thewlis
nm0000671	Billy Bob Thornton
nm0000680	Casper Van Dien
nm0000681	Vince Vaughn
nm0000685	Jon Voight
nm0000686	Christopher Walken
nm0000691	John Waters
nm0000693	Peter Weller
nm0000696	Wil Wheaton
nm0000699	Michael Wincott
nm0000704	Elijah Wood
nm0000708	Billy Zane
nm0000711	Rick Baker
nm0000714	Willie Aames
nm0000717	Kareem Abdul-Jabbar
nm0000719	F. Murray Abraham
nm0000728	Mario Adorf
nm0000729	Casey Affleck
nm0000732	Danny Aiello
nm0000741	Tim Allen
nm0000767	Jean-Hugues Anglade
nm0000792	Tom Arnold
nm0000796	Dana Ashbrook
nm0000798	Linden Ashby
nm0000799	Edward Asner
nm0000800	Armand Assante
nm0000809	Daniel Auteuil
nm0000821	Amitabh Bachchan
nm0000836	Scott Bakula
nm0000837	Bob Balaban
nm0000838	Daniel Baldwin
nm0000849	Javier Bardem
nm0000850	Clive Barker
nm0000852	Jean-Marc Barr
nm0000855	Raymond J. Barry
nm0000867	Jason Bateman
nm0000871	Randall Batinkoff
nm0000874	Steven Bauer
nm0000892	Jason Beghe
nm0000893	Ed Begley Jr.
nm0000902	Jim Belushi
nm0000903	Brian Benben
nm0000905	Roberto Benigni
nm0000908	David Bennent
nm0000920	Patrick Bergin
nm0000925	Steven Berkoff
nm0000929	Corbin Bernsen
nm0000934	Bernardo Bertolucci
nm0000937	Richard Beymer
nm0000953	Peter Bogdanovich
nm0000954	Jon Bon Jovi
nm0000960	Barry Bostwick
nm0000965	Danny Boyle
nm0000967	Eric Braeden
nm0000969	Lillo Brancato
nm0000972	Tinto Brass
nm0000973	Benjamin Bratt
nm0000977	Beau Bridges
nm0000979	Wilford Brimley
nm0000980	Jim Broadbent
nm0000981	James Brolin
nm0000982	Josh Brolin
nm0000986	Bryan Brown
nm0000998	Jake Busey
nm0001001	James Caan
nm0001002	Dean Cain
nm0001003	Simon Callow
nm0001004	Billy Campbell
nm0001015	Robert Carlyle
nm0001016	David Carradine
nm0001018	Keith Carradine
nm0001019	Robert Carradine
nm0001035	Ben Chaplin
nm0001038	Josh Charles
nm0001045	Tommy Chong
nm0001048	Andrew Dice Clay
nm0001051	Bill Clinton
nm0001062	Jeffrey Combs
nm0001074	Ronny Cox
nm0001075	Peter Coyote
nm0001082	Billy Crudup
nm0001083	Jon Cryer
nm0001084	Ice Cube
nm0001085	Kieran Culkin
nm0001086	Alan Cumming
nm0001089	Henry Czerny
nm0001092	Mark Dacascos
nm0001094	Roald Dahl
nm0001097	Charles Dance
nm0001099	Jeff Daniels
nm0001101	Ted Danson
nm0001102	Joe Dante
nm0001103	Tony Danza
nm0001108	Robert Davi
nm0001111	Jeremy Davies
nm0001117	Bruce Davison
nm0001128	Alain Delon
nm0001131	Patrick Dempsey
nm0001136	Bruce Dern
nm0001151	Stephen Dorff
nm0001155	Patrick Duffy
nm0001158	Keir Dullea
nm0001160	Adrian Dunbar
nm0001162	Griffin Dunne
nm0001163	Roy Dupuis
nm0001166	James Duval
nm0001172	Christopher Eccleston
nm0001185	Hector Elizondo
nm0001191	Adam Sandler
nm0001194	Jeff Fahey
nm0001200	Gary Farmer
nm0001208	Miguel Ferrer
nm0001209	William Fichtner
nm0001212	Joseph Fiennes
nm0001218	Sean Patrick Flanery
nm0001228	Peter Fonda
nm0001233	Robert Forster
nm0001235	William Forsythe
nm0001242	Matt Frewer
nm0001255	Victor Garber
nm0001262	Ben Gazzara
nm0001263	Jason Gedrick
nm0001277	Scott Glenn
nm0001278	John Glover
nm0001282	Tony Goldwyn
nm0001285	Elliott Gould
nm0001288	Kelsey Grammer
nm0001290	Richard E. Grant
nm0001291	Rupert Graves
nm0001293	Seth Green
nm0001295	Graham Greene
nm0001297	Joel Grey
nm0001298	Richard Grieco
nm0001301	Charles Grodin
nm0001305	Lukas Haas
nm0001309	Anthony Michael Hall
nm0001311	Philip Baker Hall
nm0001314	John Hannah
nm0001319	Mark Harmon
nm0001324	Ian Hart
nm0001326	Josh Hartnett
nm0001327	David Hasselhoff
nm0001334	John Heard
nm0001348	Werner Herzog
nm0001356	Hulk Hogan
nm0001358	Hal Holbrook
nm0001367	C. Thomas Howell
nm0001368	Ernie Hudson
nm0001384	Ice-T
nm0001409	Tchéky Karyo
nm0001411	William Katt
nm0001424	Udo Kier
nm0001426	Ben Kingsley
nm0001427	Greg Kinnear
nm0001429	Takeshi Kitano
nm0001434	Kris Kristofferson
nm0001439	Anthony LaPaglia
nm0001444	Lorenzo Lamas
nm0001445	Martin Landau
nm0001447	Nathan Lane
nm0001455	Matt LeBlanc
nm0001467	Jared Leto
nm0001474	Tommy 'Tiny' Lister
nm0001475	John Lithgow
nm0001484	Jon Lovitz
nm0001492	Kyle MacLachlan
nm0001494	Ralph Macchio
nm0001504	Marilyn Manson
nm0001505	Joe Mantegna
nm0001507	Cheech Marin
nm0001513	Tim Matheson
nm0001518	Dylan McDermott
nm0001520	Christopher McDonald
nm0001524	Paul McGann
nm0001525	John C. McGinley
nm0001528	Don McKellar
nm0001530	William McNamara
nm0001533	Meat Loaf
nm0001538	Jonny Lee Miller
nm0001553	Ennio Morricone
nm0001554	Errol Morris
nm0001555	Rob Morrow
nm0001556	David Morse
nm0001570	Edward Norton
nm0001579	Edward James Olmos
nm0001590	Chazz Palminteri
nm0001592	Joe Pantoliano
nm0001595	Michael Paré
nm0001598	Robert Patrick
nm0001599	Will Patton
nm0001600	Adrian Paul
nm0001602	Guy Pearce
nm0001608	Barry Pepper
nm0001612	Matthew Perry
nm0001616	Mekhi Phifer
nm0001617	Lou Diamond Phillips
nm0001618	Joaquin Phoenix
nm0001621	Bronson Pinchot
nm0001626	Christopher Plummer
nm0001629	Kevin Pollak
nm0001638	Jürgen Prochnow
nm0001641	Vincent Perez
nm0001644	Aidan Quinn
nm0001646	Ted Raimi
nm0001650	Michael Rapaport
nm0001661	Rob Reiner
nm0001662	Judge Reinhold
nm0001663	Paul Reiser
nm0001664	James Remar
nm0001667	Jonathan Rhys Meyers
nm0001674	Chris Rock
nm0001691	Geoffrey Rush
nm0001696	Julian Sands
nm0001697	Chris Sarandon
nm0001698	John Savage
nm0001701	Devon Sawa
nm0001705	Rob Schneider
nm0001714	Campbell Scott
nm0001717	Kyle Secor
nm0001720	Ivan Sergei
nm0001724	Tony Shalhoub
nm0001729	Craig Sheffer
nm0001731	Sam Shepard
nm0001734	Armin Shimerman
nm0001736	Pauly Shore
nm0001737	Martin Short
nm0001738	Jonathan Silverman
nm0001744	Tom Sizemore
nm0001745	Stellan Skarsgård
nm0001748	Kurtwood Smith
nm0001751	Jimmy Smits
nm0001757	Kevin Sorbo
nm0001758	Timothy Spall
nm0001761	Jerry Springer
nm0001765	Harry Dean Stanton
nm0001772	Patrick Stewart
nm0001773	David Ogden Stiers
nm0001774	Ben Stiller
nm0001776	Sting
nm0001778	Matt Stone
nm0001780	Peter Stormare
nm0001786	George Takei
nm0001787	Jeffrey Tambor
nm0001803	Danny Trejo
nm0001804	Stanley Tucci
nm0001806	John Turturro
nm0001813	Dick Van Dyke
nm0001814	Gus Van Sant
nm0001816	Robert Vaughn
nm0001832	Sam Waterston
nm0001834	Damon Wayans
nm0001835	Carl Weathers
nm0001836	Steven Weber
nm0001841	George Wendt
nm0001842	Adam West
nm0001845	Forest Whitaker
nm0001850	Billy Dee Williams
nm0001852	Treat Williams
nm0001855	Thomas F. Wilson
nm0001857	Henry Winkler
nm0001864	Noah Wyle
nm0001872	Steve Zahn
nm0001877	Hans Zimmer
nm0001898	Bryan Adams
nm0001934	Kabir Bedi
nm0001938	Richard Belzer
nm0001939	Maurice Benard
nm0001950	Steve Bisley
nm0001953	Moritz Bleibtreu
nm0001963	Jesse Borrego
nm0001970	Klaus Maria Brandauer
nm0001971	Ewen Bremner
nm0001993	Vincent Cassel
nm0002002	Shin'ichi Chiba
nm0002010	Christian Clavier
nm0002015	Phil Collins
nm0002023	Matt Craven
nm0002027	Ben Cross
nm0002048	Melvyn Douglas
nm0002057	Richard Edson
nm0002064	Giancarlo Esposito
nm0002071	Will Ferrell
nm0002073	Lou Ferrigno
nm0002076	Jason Flemyng
nm0002077	Dexter Fletcher
nm0002081	Edward Fox
nm0002090	Zach Galligan
nm0002091	Michael Gambon
nm0002103	Julian Glover
nm0002122	Harry Hamlin
nm0002129	Gregory Harrison
nm0002139	Judd Hirsch
nm0002181	Imanol Arias
nm0002230	Carlos Gallardo
nm0002235	Mike Hagerty
nm0002243	Sam Douglas
nm0002245	Tzi Ma
nm0002246	Harry Van Gorkum
nm0002253	John Carroll Lynch
nm0002311	Montagu Love
